Year,Balancing_Cost_JPY_kWh,FIP_Premium_JPY_kWh,Sell_Price_JPY_kWh,Generation_kWh,Revenue_JPY
1,2.0,20.089523387999996,34.089523387999996,2182388.74,74396591.99393785
2,1.8,19.889523387999997,33.889523388,2173659.1850400004,73664273.78895411
3,1.6,19.689523387999998,33.689523388,2164964.54829984,72936623.78413832
4,1.4,19.489523387999995,33.489523387999995,2156304.690106641,72213616.35098043
5,1.3,19.389523387999997,33.389523388,2147679.4713462144,71709993.9384419
6,1.3,19.389523387999997,33.389523388,2139088.7534608296,71423153.96268813
7,1.3,19.389523387999997,33.389523388,2130532.3984469865,71137461.34683739
8,1.3,19.389523387999997,33.389523388,2122010.2688531983,70852911.50145003
9,1.3,19.389523387999997,33.389523388,2113522.2277777856,70569499.85544424
10,1.3,19.389523387999997,33.389523388,2105068.1388666746,70287221.85602246
11,0.3,18.389523387999997,32.389523388,2096647.8663112079,67909425.10228717
12,0.3,18.389523387999997,15.532460282333332,2088261.274845963,32435835.310679693
13,0.3,18.389523387999997,14.0,2079908.2297465792,29118715.216452107
14,0.3,18.389523387999997,14.0,2071588.596827593,29002240.3555863
15,0.3,18.389523387999997,14.0,2063302.2424402826,28886231.394163955
16,0.3,18.389523387999997,14.0,2055049.0334705214,28770686.4685873
17,0.3,18.389523387999997,14.0,2046828.8373366394,28655603.722712953
18,0.3,18.389523387999997,14.0,2038641.521987293,28540981.3078221
19,0.3,18.389523387999997,14.0,2030486.9558993438,28426817.382590815
20,0.3,18.389523387999997,14.0,2022365.0080757465,28313110.113060452
